,smoothing_level,smoothing_slope,damping_slope,damped,RMSE,R²
508,0.3,0.5,0.7,True,6.0302791192216825,-10.224365084927198
509,0.3,0.6,0.7,True,5.903983304766729,-9.759131030962342
510,0.3,0.7,0.7,True,5.688756005107825,-8.988989787403856
511,0.3,0.8,0.7,True,5.393014569335995,-7.977391030740961
512,0.3,0.9,0.7,True,5.029506013184691,-6.807960698413502
513,0.4,0.1,0.7,True,5.0018049176345025,-6.7221894774160225
514,0.4,0.2,0.7,True,4.959852690953102,-6.5931942678559405
515,0.4,0.3,0.7,True,4.761719756271056,-5.998655547043134
516,0.4,0.4,0.7,True,4.4271401798003645,-5.049695312609492
517,0.4,0.5,0.7,True,3.9910158855629536,-3.9164753724232346
518,0.4,0.6,0.7,True,3.5196657064964776,-2.8237526287267385
519,0.4,0.7,0.7,True,3.1411299710253244,-2.0455011545179738
520,0.4,0.8,0.7,True,3.0645677427514495,-1.898847754308127
521,0.4,0.9,0.7,True,3.4798528363729666,-2.7377367538936106
522,0.5,0.1,0.7,True,3.843760059883862,-3.5603638535869377
523,0.5,0.2,0.7,True,3.430561943345151,-2.6325992269439977
524,0.5,0.3,0.7,True,2.945342116922436,-1.6776786168642874
525,0.5,0.4,0.7,True,2.637755017497178,-1.147612241641594
526,0.5,0.5,0.7,True,2.89992936418119,-1.5957436146679784
527,0.5,0.6,0.7,True,3.8853757004694347,-3.659646758324178
528,0.5,0.7,0.7,True,5.412855844631789,-8.043569435350431
529,0.5,0.8,0.7,True,7.311648653309023,-15.501278089047311
530,0.5,0.9,0.7,True,9.493645639323786,-26.81973504975361
531,0.6,0.1,0.7,True,2.4523845349275986,-0.8563680821509416
532,0.6,0.2,0.7,True,2.2585222515663106,-0.5744747586774865
533,0.6,0.3,0.7,True,2.933350717589372,-1.6559196841231398
534,0.6,0.4,0.7,True,4.450592828711998,-5.113961263401723
535,0.6,0.5,0.7,True,6.510472405828429,-12.083139141745221
536,0.6,0.6,0.7,True,8.959822232124335,-23.779112155848733
537,0.6,0.7,0.7,True,11.728631173117135,-41.460158784384696
538,0.6,0.8,0.7,True,14.776007336328016,-66.39088369680361
539,0.6,0.9,0.7,True,18.071919991874083,-99.8081269795319
540,0.7,0.1,0.7,True,2.2894026675595684,-0.6178241879167079
541,0.7,0.2,0.7,True,3.8136024760733767,-3.4890846714747994
542,0.7,0.3,0.7,True,6.047441071919099,-10.288344257585647
543,0.7,0.4,0.7,True,8.770482399483951,-22.74290844904578
544,0.7,0.5,0.7,True,11.892982080407938,-42.65846721791571
545,0.7,0.6,0.7,True,15.36208778651821,-71.84293569731193
546,0.7,0.7,0.7,True,19.136579791522905,-112.0356917240331
547,0.7,0.8,0.7,True,23.17951640327133,-164.84244701442094
548,0.7,0.9,0.7,True,27.45567604031759,-231.67581231290347
549,0.8,0.1,0.7,True,4.265995804331455,-4.617302386789926
550,0.8,0.2,0.7,True,6.9381584684104585,-13.858514249998613
551,0.8,0.3,0.7,True,10.139617156256788,-30.734383832949327
552,0.8,0.4,0.7,True,13.788228917550637,-57.68186736440593
553,0.8,0.5,0.7,True,17.823898541334767,-97.06010590297387
554,0.8,0.6,0.7,True,22.192915851335762,-151.0252366355218
555,0.8,0.7,0.7,True,26.843663092914998,-221.41829853386528
556,0.8,0.8,0.7,True,31.725165311880637,-309.6667275435776
557,0.8,0.9,0.7,True,36.78652417775159,-416.699990109247
558,0.9,0.1,0.7,True,6.9847414234746195,-14.05870485447417
559,0.9,0.2,0.7,True,10.504400351141323,-33.058811288642985
560,0.9,0.3,0.7,True,14.53503998787589,-64.21078331657432
561,0.9,0.4,0.7,True,18.999156113113546,-110.41805627450324
562,0.9,0.5,0.7,True,23.823604306808818,-174.18700560363612
563,0.9,0.6,0.7,True,28.936247186481165,-257.4469233984229
564,0.9,0.7,0.7,True,34.26492966917962,-361.3987113216086
